,"Tipo di struttura 
[variazione][struttura][dimensione][operazione]",Tempo (ms) iterazione 1,Tempo (ms) iterazione 2,Tempo (ms) iterazione 3,Tempo (ms) iterazione 4,Tempo (ms) iterazione 5,Tempo (ms) iterazione 6,Tempo (ms) iterazione 7,Tempo (ms) iterazione 8,Tempo (ms) iterazione 9,Tempo (ms) iterazione 10,Tempo (ms) iterazione 11,Tempo (ms) iterazione 12,Tempo (ms) iterazione 13,Tempo (ms) iterazione 14,Tempo (ms) iterazione 15,Tempo (ms) iterazione 16,Tempo (ms) iterazione 17,Tempo (ms) iterazione 18,Tempo (ms) iterazione 19,Tempo (ms) iterazione 20,Tempo (ms) iterazione 21,Tempo (ms) iterazione 22,Tempo (ms) iterazione 23,Tempo (ms) iterazione 24,Tempo (ms) iterazione 25,Tempo (ms) iterazione 26,Tempo (ms) iterazione 27,Tempo (ms) iterazione 28,Tempo (ms) iterazione 29,Tempo (ms) iterazione 30,Tempo (ms) iterazione 31,Tempo (ms) iterazione 32,Tempo (ms) iterazione 33,Tempo (ms) iterazione 34,Tempo (ms) iterazione 35,Tempo (ms) iterazione 36,Tempo (ms) iterazione 37,Tempo (ms) iterazione 38,Tempo (ms) iterazione 39,Tempo (ms) iterazione 40,Tempo (ms) iterazione 41,Tempo (ms) iterazione 42,Tempo (ms) iterazione 43,Tempo (ms) iterazione 44,Tempo (ms) iterazione 45,Tempo (ms) iterazione 46,Tempo (ms) iterazione 47,Tempo (ms) iterazione 48,Tempo (ms) iterazione 49,Tempo (ms) iterazione 50
73,minLinkedList1000Extract,44.56900409422815,39.482100401073694,45.088701881468296,42.96830063685775,41.221200255677104,43.51149848662317,43.60850271768868,44.94529846124351,42.411102214828134,41.97840788401663,42.47630434110761,42.53659420646727,42.47479699552059,41.00420023314655,45.30539899133146,42.94610093347728,42.223696829751134,39.24189880490303,43.368199840188026,45.30619480647147,42.8024975117296,42.372903088107705,42.725496692582965,43.89830003492534,43.109802063554525,41.61139763891697,41.93950351327658,41.9176013674587,41.891003493219614,42.77899721637368,40.96170561388135,41.935297194868326,42.13339975103736,42.129599256441,46.6529973782599,42.521700728684664,42.00169537216425,41.388801066204906,40.37860152311623,41.49720421992242,41.177496779710054,42.36269649118185,43.75359904952347,41.998008731752634,43.68079616688192,44.305005110800266,44.677895959466696,47.69279668107629,42.80510009266436,40.74339661747217
74,minLinkedList2000Extract,175.91610155068338,167.54230321384966,166.00660351105034,162.86550322547555,164.26849807612598,172.98230063170195,179.71139308065176,163.1418012548238,162.468905095011,169.96590048074722,167.60879918001592,168.298703385517,195.89459686540067,167.94339776970446,166.72860155813396,166.74870322458446,167.62159927748144,167.2395032364875,167.5908979959786,167.20549296587706,162.79420210048556,166.82360298000276,165.20890430547297,164.7903996054083,164.5049995277077,178.6732969339937,166.90220078453422,167.68400324508548,162.96499804593623,166.06760234571993,167.72259143181145,164.21329858712852,167.09149372763932,167.03619225881994,165.7625043299049,166.82119690813124,162.80659870244563,172.1822009421885,176.11659690737724,170.41170061565936,166.59668856300414,164.50250265188515,166.28300352022052,163.99070038460195,164.87729968503118,164.97049620375037,165.1536023709923,164.65659742243588,169.93840783834457,167.51540172845125
75,minLinkedOrderedList100Insert,0.35879877395927906,0.35189976915717125,0.31449971720576286,0.3689979203045368,0.3795002121478319,0.35840063355863094,0.30750036239624023,0.3524008207023144,0.35859947092831135,0.4046002868562937,0.3213007003068924,0.3610001876950264,0.3812990617007017,0.27830060571432114,0.39650057442486286,0.4027003888040781,0.7514997851103544,0.43260003440082073,0.861600274220109,0.3911976236850023,0.27859932743012905,0.35949982702732086,0.41470141150057316,0.3661015070974827,0.3478007856756449,0.37029990926384926,0.35080057568848133,0.5643004551529884,0.258799409493804,0.28619938530027866,0.2855982165783644,0.2635002601891756,0.2897013910114765,0.2897998783737421,0.391701003536582,0.3147989045828581,0.35090185701847076,0.36950036883354187,0.3404009621590376,0.36160252057015896,0.31849881634116173,0.3725001588463783,0.3587000537663698,0.36550057120621204,0.9647996630519629,0.8182022720575333,0.694700051099062,0.282900407910347,0.39849826134741306,0.4030996933579445
76,minLinkedOrderedList200Insert,1.2051984667778015,1.2349998578429222,0.9757999796420336,1.0384006891399622,1.0613002814352512,1.0758000425994396,1.3326003681868315,1.0409988462924957,3.136297920718789,1.2890007346868515,1.229200977832079,1.3526014517992735,0.9583006612956524,1.3253989163786173,1.0556993074715137,1.0427022352814674,1.3155974447727203,1.2785992585122585,3.028198843821883,1.9214998465031385,1.2192998547106981,1.2078981380909681,0.9623011574149132,1.1975003872066736,0.9792002383619547,1.0664004366844893,1.2676005717366934,2.3454015608876944,2.6230993680655956,1.0296995751559734,1.2822987046092749,1.3046995736658573,1.0721026919782162,1.2205031234771013,1.1241992469877005,2.0534012001007795,2.3755000438541174,0.9743995033204556,1.2443994637578726,0.9727971628308296,1.302097924053669,1.1181028094142675,1.1610996443778276,0.8768006227910519,0.9137003216892481,0.92559983022511,2.3111007176339626,2.8712009079754353,1.2128986418247223,1.0176000650972128
77,minLinkedOrderedList500Insert,5.674601066857576,7.5988012831658125,5.336801754310727,6.984800565987825,5.554801551625133,5.344701465219259,8.159900084137917,5.237400298938155,5.413799313828349,5.697799846529961,5.903102457523346,6.976396776735783,5.00629935413599,5.68319926969707,6.844000890851021,6.366500863805413,8.420199621468782,5.897296359762549,7.1199985686689615,5.111899226903915,5.43790333904326,7.8684010077267885,5.7118001859635115,6.580300396308303,5.2316999062895775,5.348701030015945,7.055298425257206,5.219498882070184,5.222303094342351,8.089599665254354,6.259701680392027,7.807598449289799,5.6629006285220385,7.615299196913838,7.445300463587046,7.964596850797534,5.279599688947201,5.3884966764599085,7.0463987067341805,5.352302687242627,7.0398973766714334,5.0703000742942095,5.706399213522673,6.355899153277278,5.438299151137471,7.32319918461144,5.535099888220429,6.204701494425535,5.334501154720783,5.4424989502877
78,minLinkedOrderedList1000Insert,23.261201102286577,21.434304304420948,22.431899327784777,23.38579692877829,22.143099224194884,32.96819655224681,25.13820119202137,23.5609021037817,23.979002609848976,25.05020215176046,22.72890182211995,24.33979813940823,24.842900224030018,20.948096876963973,21.93369739688933,22.937299218028784,21.825694013386965,22.980500012636185,24.15820281021297,24.63509701192379,20.84419969469309,23.846399504691362,25.71620000526309,24.90929886698723,24.289396591484547,25.229102233424783,34.057496348395944,31.516792019829154,23.794699925929308,23.089400958269835,21.950399037450552,20.66589705646038,24.51580250635743,21.05810190550983,22.9391953907907,21.44259517081082,22.88179937750101,21.99500217102468,22.501599509269,23.946199333295226,21.38810115866363,26.015199488028884,22.736900253221393,24.512803182005882,21.554399747401476,22.56780071184039,21.16760378703475,23.286599200218916,22.754898760467768,22.70210161805153
79,minLinkedOrderedList2000Insert,89.65169847942889,87.52669463865459,87.28809840977192,86.79799782112241,87.65690238215029,91.00439818575978,87.87369704805315,91.31349762901664,88.59160030260682,93.40370213612914,98.1891977135092,87.25189883261919,92.81890303827822,98.17239758558571,95.93449998646975,87.42398978210986,90.94530576840043,92.12149842642248,93.65909988991916,91.12610691227019,90.64770233817399,92.75680407881737,88.07060704566538,91.06650040484965,89.55429610796273,96.3531956076622,84.90519342012703,88.09220232069492,87.91659446433187,93.5457011219114,88.9596026390791,85.96350159496069,91.99599758721888,89.204594027251,92.1645003836602,170.73110048659146,95.71689879521728,86.39579894952476,88.28650158829987,89.34940327890217,90.05429851822555,94.16409628465772,89.20199447311461,87.78020436875522,87.68240083009005,93.87349616736174,87.91229967027903,92.29449601843953,90.31280525960028,88.30779953859746
80,minLinkedOrderedList100IncDec,0.9530994575470686,0.981601420789957,0.9795988444238901,1.0259989649057388,0.8551008068025112,0.952000031247735,0.9077000431716442,0.9888983331620693,0.9784018620848656,0.9710986632853746,1.514700474217534,1.1529996991157532,0.8852013852447271,0.8985996246337891,0.925800297409296,0.9298983495682478,0.8769016712903976,0.8009993471205235,0.9773008059710264,0.9540014434605837,0.9447007905691862,0.6815001834183931,1.834299648180604,1.2533976696431637,1.713798614218831,0.7727993652224541,0.8804008830338717,0.799800967797637,0.8891993202269077,0.9480994194746017,0.9747985750436783,0.8729007095098495,0.9623002260923386,1.6798998694866896,1.724000321701169,0.893499469384551,0.9316999930888414,0.937899574637413,0.9230009745806456,0.8800993673503399,0.8024014532566071,0.8675004355609417,0.7391003891825676,0.9915989357978106,1.3378998264670372,0.9049000218510628,1.0081999935209751,0.7351003587245941,0.8942002896219492,1.1144988238811493
81,minLinkedOrderedList200IncDec,3.2774016726762056,3.592301858589053,4.010800737887621,3.4447002690285444,2.9673001263290644,3.3253985457122326,4.538901848718524,3.0179000459611416,2.7742001693695784,2.952801063656807,4.926399327814579,2.976000076159835,3.5017982590943575,2.8660024981945753,4.528200952336192,2.850499702617526,3.081298666074872,4.621097818017006,3.723599947988987,2.949502319097519,3.207298694178462,5.495199700817466,2.859801286831498,2.66219861805439,2.951500006020069,2.7730020228773355,3.7720988038927317,2.7786020655184984,3.0113004613667727,3.727399045601487,4.165699006989598,2.956302836537361,2.949798945337534,2.6544013526290655,3.995899111032486,3.044398967176676,3.350999904796481,3.1373000238090754,2.6964000426232815,3.5758011508733034,3.5772998817265034,2.7554009575396776,3.4036010038107634,4.179798997938633,2.81150103546679,2.8144994284957647,2.963500563055277,5.107899429276586,2.886700676754117,3.526499727740884
82,minLinkedOrderedList500IncDec,18.224498024210334,22.212701849639416,24.116901913657784,22.184100467711687,20.28809953480959,20.238497527316213,18.257103161886334,20.688101649284363,18.666798248887062,19.272098317742348,21.86959865503013,17.29660271666944,18.14029924571514,17.42999698035419,19.25729657523334,20.763695938512683,19.65679880231619,19.5963007863611,19.50360625050962,20.601599011570215,18.11109995469451,19.337298581376672,21.097797667607665,20.975696854293346,19.448199775069952,18.453395692631602,19.74940439686179,19.13629937916994,18.248297506943345,19.08670086413622,20.323299802839756,20.820996491238475,20.156601211056113,21.417797543108463,19.877800717949867,17.26390002295375,19.709502579644322,19.762500654906034,19.02769901789725,18.63510301336646,20.095105282962322,19.927897956222296,19.966896390542388,17.925000516697764,19.044703105464578,22.312900982797146,20.301295910030603,18.509702291339636,20.31600079499185,19.24890070222318
