Iteration,maxHeapInsertTimes,maxHeapIncDecTimes,maxHeapExtractTimes,minHeapInsertTimes,minHeapIncDecTimes,minHeapExtractTimes,maxLinkedListInsertTimes,maxLinkedListIncDecTimes,maxLinkedListExtractTimes,minLinkedListInsertTimes,minLinkedListIncDecTimes,minLinkedListExtractTimes,maxLinkedOrderedListInsertTimes,maxLinkedOrderedListIncDecTimes,maxLinkedOrderedListExtractTimes,minLinkedOrderedListInsertTimes,minLinkedOrderedListIncDecTimes,minLinkedOrderedListExtractTimes,,maxHeapInsertTimes,maxHeapIncDecTimes,maxHeapExtractTimes,minHeapInsertTimes,minHeapIncDecTimes,minHeapExtractTimes,maxLinkedListInsertTimes,maxLinkedListIncDecTimes,maxLinkedListExtractTimes,minLinkedListInsertTimes,minLinkedListIncDecTimes,minLinkedListExtractTimes,maxLinkedOrderedListInsertTimes,maxLinkedOrderedListIncDecTimes,maxLinkedOrderedListExtractTimes,minLinkedOrderedListInsertTimes,minLinkedOrderedListIncDecTimes,minLinkedOrderedListExtractTimes
11,0.008106231689453125,0.0040531158447265625,0.011920928955078125,0.015020370483398438,0.0054836273193359375,0.010967254638671875,0.012636184692382812,0.025987625122070312,0.11920928955078125,0.016450881958007812,0.04124641418457031,0.11897087097167969,0.010728836059570312,0.18215179443359375,0.0026226043701171875,0.0133514404296875,0.1685619354248047,0.0026226043701171875,,0.13017654418945312,0.0400543212890625,0.19073486328125,0.13256072998046875,0.04100799560546875,0.15497207641601562,0.2655982971191406,0.31495094299316406,1.7120838165283203,0.12874603271484375,0.5702972412109375,1.443624496459961,0.1685619354248047,1.3167858123779297,0.034332275390625,0.1697540283203125,1.3988018035888672,0.03361701965332031
12,0.007867813110351562,0.010728836059570312,0.011682510375976562,0.008344650268554688,0.008106231689453125,0.011205673217773438,0.014781951904296875,0.087738037109375,0.09036064147949219,0.014066696166992188,0.2560615539550781,0.12159347534179688,0.014543533325195312,0.3905296325683594,0.0021457672119140625,0.011920928955078125,0.11897087097167969,0.0026226043701171875,,0.1380443572998047,0.05078315734863281,0.20241737365722656,0.14090538024902344,0.049114227294921875,0.16617774963378906,0.2803802490234375,0.40268898010253906,1.8024444580078125,0.14281272888183594,0.8263587951660156,1.5652179718017578,0.18310546875,1.707315444946289,0.03647804260253906,0.18167495727539062,1.5177726745605469,0.0362396240234375
13,0.013113021850585938,0.0054836273193359375,0.011444091796875,0.010728836059570312,0.01049041748046875,0.010967254638671875,0.05817413330078125,0.13518333435058594,0.11706352233886719,0.012874603271484375,0.011444091796875,0.11897087097167969,0.11754035949707031,0.055789947509765625,0.002384185791015625,0.016927719116210938,0.2319812774658203,0.002384185791015625,,0.15115737915039062,0.05626678466796875,0.21386146545410156,0.15163421630859375,0.059604644775390625,0.17714500427246094,0.33855438232421875,0.537872314453125,1.9195079803466797,0.1556873321533203,0.8378028869628906,1.6841888427734375,0.3006458282470703,1.7631053924560547,0.03886222839355469,0.19860267639160156,1.7497539520263672,0.038623809814453125
14,0.014066696166992188,0.010013580322265625,0.012874603271484375,0.013113021850585938,0.007152557373046875,0.012874603271484375,0.021696090698242188,0.09202957153320312,0.11014938354492188,0.0133514404296875,0.2391338348388672,0.2522468566894531,0.021457672119140625,0.10013580322265625,0.0026226043701171875,0.012636184692382812,0.09989738464355469,0.002384185791015625,,0.1652240753173828,0.06628036499023438,0.22673606872558594,0.1647472381591797,0.0667572021484375,0.1900196075439453,0.36025047302246094,0.6299018859863281,2.0296573638916016,0.1690387725830078,1.0769367218017578,1.9364356994628906,0.32210350036621094,1.863241195678711,0.041484832763671875,0.21123886108398438,1.8496513366699219,0.04100799560546875
15,0.015735626220703125,0.004291534423828125,0.013589859008789062,0.016450881958007812,0.0040531158447265625,0.013113021850585938,0.015497207641601562,0.06818771362304688,0.12159347534179688,0.013113021850585938,0.027418136596679688,0.1220703125,0.014543533325195312,0.1838207244873047,0.00286102294921875,0.012159347534179688,0.2522468566894531,0.0026226043701171875,,0.18095970153808594,0.0705718994140625,0.240325927734375,0.1811981201171875,0.07081031799316406,0.20313262939453125,0.3757476806640625,0.698089599609375,2.1512508392333984,0.18215179443359375,1.1043548583984375,2.0585060119628906,0.33664703369140625,2.0470619201660156,0.044345855712890625,0.22339820861816406,2.101898193359375,0.04363059997558594
16,0.01430511474609375,0.0035762786865234375,0.011920928955078125,0.0069141387939453125,0.0045299530029296875,0.012159347534179688,0.010967254638671875,0.012874603271484375,0.1270771026611328,0.0095367431640625,0.11324882507324219,0.11944770812988281,0.007867813110351562,0.06031990051269531,0.002384185791015625,0.015020370483398438,0.05698204040527344,0.0026226043701171875,,0.1952648162841797,0.07414817810058594,0.2522468566894531,0.1881122589111328,0.07534027099609375,0.21529197692871094,0.3867149353027344,0.7109642028808594,2.2783279418945312,0.19168853759765625,1.2176036834716797,2.1779537200927734,0.3445148468017578,2.107381820678711,0.04673004150390625,0.2384185791015625,2.1588802337646484,0.046253204345703125
17,0.009059906005859375,0.004291534423828125,0.011205673217773438,0.010013580322265625,0.0019073486328125,0.012159347534179688,0.0095367431640625,0.026941299438476562,0.09989738464355469,0.007867813110351562,0.0069141387939453125,0.11086463928222656,0.008821487426757812,0.051021575927734375,0.0030994415283203125,0.013828277587890625,0.194549560546875,0.0026226043701171875,,0.20432472229003906,0.07843971252441406,0.26345252990722656,0.19812583923339844,0.07724761962890625,0.22745132446289062,0.3962516784667969,0.7379055023193359,2.378225326538086,0.1995563507080078,1.224517822265625,2.288818359375,0.3533363342285156,2.1584033966064453,0.04982948303222656,0.2522468566894531,2.3534297943115234,0.04887580871582031
18,0.008821487426757812,0.0040531158447265625,0.011682510375976562,0.010251998901367188,0.004291534423828125,0.011205673217773438,0.010251998901367188,0.059604644775390625,0.09274482727050781,0.0095367431640625,0.03910064697265625,0.3886222839355469,0.021696090698242188,0.08678436279296875,0.007867813110351562,0.0152587890625,0.06341934204101562,0.00667572021484375,,0.21314620971679688,0.08249282836914062,0.2751350402832031,0.20837783813476562,0.08153915405273438,0.23865699768066406,0.40650367736816406,0.7975101470947266,2.4709701538085938,0.2090930938720703,1.2636184692382812,2.677440643310547,0.3750324249267578,2.245187759399414,0.057697296142578125,0.2675056457519531,2.416849136352539,0.05555152893066406
19,0.011205673217773438,0.0045299530029296875,0.026941299438476562,0.012159347534179688,0.0030994415283203125,0.064849853515625,0.013589859008789062,0.012159347534179688,0.46563148498535156,0.010251998901367188,0.0030994415283203125,0.38909912109375,0.0133514404296875,0.1380443572998047,0.00476837158203125,0.014781951904296875,0.11610984802246094,0.0050067901611328125,,0.2243518829345703,0.08702278137207031,0.3020763397216797,0.2205371856689453,0.08463859558105469,0.30350685119628906,0.4200935363769531,0.8096694946289062,2.9366016387939453,0.2193450927734375,1.2667179107666016,3.066539764404297,0.3883838653564453,2.3832321166992188,0.062465667724609375,0.28228759765625,2.532958984375,0.060558319091796875
20,0.009298324584960938,0.0050067901611328125,0.025033950805664062,0.007152557373046875,0.002384185791015625,0.015735626220703125,0.010251998901367188,0.018358230590820312,0.2422332763671875,0.0069141387939453125,0.027179718017578125,0.3349781036376953,0.006198883056640625,0.07724761962890625,0.0035762786865234375,0.01239776611328125,0.11658668518066406,0.00286102294921875,,0.23365020751953125,0.09202957153320312,0.32711029052734375,0.2276897430419922,0.08702278137207031,0.3192424774169922,0.4303455352783203,0.8280277252197266,3.178834915161133,0.2262592315673828,1.2938976287841797,3.401517868041992,0.39458274841308594,2.460479736328125,0.06604194641113281,0.29468536376953125,2.649545669555664,0.06341934204101562
