,"Tipo di struttura 
[variazione][struttura][operazione]",Dimensione dataset 100,Dimensione dataset 200,Dimensione dataset 500,Dimensione dataset 1000,Dimensione dataset 2000
0,maxHeapInsert,0.14981614891439676,0.2733600651845336,0.6802417384460568,1.3284818502143025,2.597854947671294
1,maxHeapIncDec,0.12181391473859549,0.24234979413449764,0.5829817242920399,1.1070376681163907,2.1832469711080194
2,maxHeapExtract,0.3545959433540702,0.8391862874850631,2.1922621550038457,4.953164351172745,11.244928585365415
3,maxLinkedListInsert,0.28100996278226376,0.9383920580148697,3.9887379202991724,13.927470981143415,51.20594857726246
4,maxLinkedListIncDec,0.3986897552385926,1.167804365977645,7.748082154430449,31.475635888054967,122.06774641294032
5,maxLinkedListExtract,0.6122000887989998,2.038027849048376,10.157491969875991,40.414138017222285,148.4079042216763
6,maxLinkedOrderedListInsert,0.42351589538156986,1.266277781687677,5.805747779086232,21.06370118446648,78.9115197584033
7,maxLinkedOrderedListIncDec,0.9575161058455706,3.2789561431854963,18.51454993709922,71.86863077338785,277.26325198076665
8,maxLinkedOrderedListExtract,0.05933406762778759,0.11034570634365082,0.2809799835085869,0.5867582000792027,1.168316537514329
9,minHeapInsert,0.14084399212151766,0.2970940386876464,0.706225810572505,1.5921798860654235,2.6554188691079617
10,minHeapIncDec,0.12428592890501022,0.24012419395148754,0.6130102230235934,1.2038499815389514,2.369648893363774
11,minHeapExtract,0.38141004275530577,0.7455841917544603,2.275093817152083,5.038293250836432,11.507204743102193
12,minLinkedListInsert,0.26340202428400517,0.8633042918518186,4.511039950884879,13.689083815552294,50.02448246348649
13,minLinkedListIncDec,0.35834020003676414,1.241259970702231,7.951585985720158,30.09073778986931,123.22240934241563
14,minLinkedListExtract,0.6625119363889098,2.241884134709835,12.06912781111896,43.152579590678215,161.98141626548022
15,minLinkedOrderedListInsert,0.40313408710062504,1.2061439454555511,6.030863751657307,24.86451190430671,87.08981158677489
16,minLinkedOrderedListIncDec,0.9624402318149805,3.3911905391141772,19.319908381439745,75.82061200868338,292.36278645228595
17,minLinkedOrderedListExtract,0.05897615570574999,0.11053788475692272,0.2803536131978035,0.5563463550060987,1.2138892570510507
