maxHeapInsertTimes,maxHeapIncDecTimes,maxHeapExtractTimes,minHeapInsertTimes,minHeapIncDecTimes,minHeapExtractTimes,maxLinkedListInsertTimes,maxLinkedListIncDecTimes,maxLinkedListExtractTimes,minLinkedListInsertTimes,minLinkedListIncDecTimes,minLinkedListExtractTimes,maxLinkedOrderedListInsertTimes,maxLinkedOrderedListIncDecTimes,maxLinkedOrderedListExtractTimes,minLinkedOrderedListInsertTimes,minLinkedOrderedListIncDecTimes,minLinkedOrderedListExtractTimes
0.02574920654296875,0.0035762786865234375,0.06461143493652344,0.030517578125,0.00476837158203125,0.048160552978515625,0.027179718017578125,0.07033348083496094,0.7116794586181641,0.018835067749023438,0.12111663818359375,0.30350685119628906,0.0286102294921875,0.25343894958496094,0.010728836059570312,0.018358230590820312,0.1480579376220703,0.010967254638671875
0.04696846008300781,0.00667572021484375,0.16736984252929688,0.050067901611328125,0.007867813110351562,0.08416175842285156,0.048160552978515625,0.08082389831542969,1.0559558868408203,0.0362396240234375,0.1723766326904297,1.0516643524169922,0.05030632019042969,0.5793571472167969,0.017881393432617188,0.04363059997558594,0.26726722717285156,0.0171661376953125
0.07367134094238281,0.022649765014648438,0.209808349609375,0.07748603820800781,0.01239776611328125,0.13208389282226562,0.07271766662597656,0.23937225341796875,1.6040802001953125,0.05364418029785156,0.34999847412109375,1.470327377319336,0.08821487426757812,0.9248256683349609,0.026226043701171875,0.06866455078125,0.3790855407714844,0.024557113647460938
0.08916854858398438,0.027894973754882812,0.2334117889404297,0.09918212890625,0.017404556274414062,0.15401840209960938,0.09274482727050781,0.4429817199707031,1.8644332885742188,0.07367134094238281,0.4792213439941406,1.7194747924804688,0.12111663818359375,1.596212387084961,0.031232833862304688,0.12445449829101562,0.4203319549560547,0.030994415283203125
0.4229545593261719,0.032901763916015625,0.25343894958496094,0.13399124145507812,0.021696090698242188,0.17333030700683594,0.11682510375976562,0.6620883941650391,2.072572708129883,0.09489059448242188,0.6153583526611328,2.1936893463134766,0.15044212341308594,1.9154548645019531,0.036716461181640625,0.13709068298339844,0.5183219909667969,0.03647804260253906
0.43511390686035156,0.03814697265625,0.2753734588623047,0.1513957977294922,0.025987625122070312,0.1933574676513672,0.13256072998046875,0.7987022399902344,2.2859573364257812,0.10585784912109375,0.7245540618896484,2.736806869506836,0.17452239990234375,2.1338462829589844,0.04291534423828125,0.1506805419921875,0.6103515625,0.04220008850097656
0.4558563232421875,0.041484832763671875,0.2980232238769531,0.16260147094726562,0.029087066650390625,0.21505355834960938,0.14448165893554688,0.8695125579833984,2.6025772094726562,0.12254714965820312,0.7448196411132812,3.0517578125,0.18715858459472656,2.3832321166992188,0.04982948303222656,0.20503997802734375,0.7047653198242188,0.04863739013671875
0.4706382751464844,0.04482269287109375,0.33545494079589844,0.1761913299560547,0.03838539123535156,0.24890899658203125,0.1575946807861328,0.9250640869140625,2.842426300048828,0.1361370086669922,1.117706298828125,3.25775146484375,0.19979476928710938,2.877950668334961,0.056743621826171875,0.21982192993164062,0.8327960968017578,0.05412101745605469
0.48279762268066406,0.04839897155761719,0.40459632873535156,0.1926422119140625,0.041484832763671875,0.2799034118652344,0.1728534698486328,0.9951591491699219,3.0736923217773438,0.15020370483398438,1.1484622955322266,3.445863723754883,0.2155303955078125,3.1278133392333984,0.06198883056640625,0.2315044403076172,0.9856224060058594,0.0591278076171875
0.49495697021484375,0.05173683166503906,0.4241466522216797,0.20599365234375,0.045299530029296875,0.3180503845214844,0.1900196075439453,1.1093616485595703,3.4787654876708984,0.1659393310546875,1.1906623840332031,4.0130615234375,0.23126602172851562,3.6258697509765625,0.06937980651855469,0.2434253692626953,1.1610984802246094,0.06532669067382812
0.5040168762207031,0.05626678466796875,0.44798851013183594,0.21958351135253906,0.049591064453125,0.3566741943359375,0.24437904357910156,1.28936767578125,4.056453704833984,0.18334388732910156,1.2335777282714844,4.313945770263672,0.24509429931640625,4.26030158996582,0.07724761962890625,0.25844573974609375,1.6300678253173828,0.072479248046875
0.5135536193847656,0.06103515625,0.48613548278808594,0.23293495178222656,0.05364418029785156,0.3876686096191406,0.2999305725097656,1.3866424560546875,4.303693771362305,0.19240379333496094,1.3508796691894531,4.607200622558594,0.25653839111328125,4.538059234619141,0.08273124694824219,0.26798248291015625,1.7428398132324219,0.07748603820800781
0.5249977111816406,0.06437301635742188,0.5261898040771484,0.24175643920898438,0.05650520324707031,0.40912628173828125,0.316619873046875,1.4574527740478516,4.525184631347656,0.2067089080810547,1.3933181762695312,4.830360412597656,0.27251243591308594,4.77290153503418,0.087738037109375,0.2834796905517578,2.0732879638671875,0.0858306884765625
0.5357265472412109,0.06747245788574219,0.5633831024169922,0.2503395080566406,0.059604644775390625,0.4286766052246094,0.32782554626464844,1.493215560913086,4.770040512084961,0.21505355834960938,1.4421939849853516,5.0525665283203125,0.2849102020263672,4.938840866088867,0.1671314239501953,0.2930164337158203,2.1376609802246094,0.09322166442871094
0.5438327789306641,0.07152557373046875,0.5927085876464844,0.26106834411621094,0.06437301635742188,0.4506111145019531,0.33664703369140625,1.5001296997070312,5.001068115234375,0.22721290588378906,1.4889240264892578,5.286455154418945,0.29754638671875,5.377769470214844,0.1723766326904297,0.30350685119628906,2.304553985595703,0.09846687316894531
